ticket_id,customer_id,created_date,issue_type,priority,channel,status,response_time_minutes,resolution_time_minutes,customer_rating
40,3042,2022-04-26 16:00:00,Технічна проблема,Середній,Viber,Закрито,113.0,878.0,5.0
41,7762,2024-03-26 17:00:00,Технічна проблема,Низький,Phone,Закрито,43.0,491.0,1.0
42,4992,2022-03-05 02:00:00,Доставка,Низький,Chat,Закрито,109.0,835.0,3.0
43,633,2023-11-24 14:00:00,Оплата,Низький,Phone,Закрито,197.0,202.0,4.0
44,12529,2022-04-29 20:00:00,Питання про товар,Високий,Viber,Відкрито,,,
45,11164,2023-07-11 08:00:00,Оплата,Низький,Telegram,Очікує відповіді клієнта,20.0,,
46,9752,2024-03-30 23:00:00,Гарантія,Високий,Viber,Відкрито,,,
47,10145,2023-06-07 23:00:00,Інше,Низький,Phone,Очікує відповіді клієнта,44.0,,
48,2587,2022-09-27 11:00:00,Оплата,Середній,Viber,В обробці,232.0,,
49,13250,2022-11-07 09:00:00,Інше,Низький,Chat,Закрито,198.0,889.0,2.0
50,10763,2023-02-27 21:00:00,Гарантія,Середній,Phone,Закрито,161.0,962.0,3.0
51,12021,2023-05-12 16:00:00,Доставка,Низький,Viber,Закрито,88.0,812.0,2.0
52,4952,2023-07-08 18:00:00,Доставка,Критичний,Telegram,Закрито,131.0,1000.0,3.0
53,14064,2024-12-27 08:00:00,Технічна проблема,Високий,Email,В обробці,206.0,,
54,9085,2023-03-21 04:00:00,Інше,Високий,Telegram,Закрито,70.0,356.0,4.0
55,14173,2022-12-31 17:00:00,Гарантія,Низький,Viber,Закрито,181.0,1099.0,5.0
56,4672,2024-03-15 07:00:00,Повернення,Середній,Email,В обробці,217.0,,
57,12191,2023-06-17 13:00:00,Доставка,Середній,Viber,Закрито,86.0,1193.0,5.0
58,9880,2022-04-27 06:00:00,Питання про товар,Середній,Telegram,Закрито,191.0,1391.0,4.0
59,11594,2023-09-15 06:00:00,Гарантія,Високий,Phone,Закрито,61.0,900.0,5.0
60,8944,2024-04-02 16:00:00,Доставка,Низький,Viber,Відкрито,,,
61,13693,2023-06-18 20:00:00,Технічна проблема,Середній,Chat,Відкрито,,,
62,2915,2022-06-29 20:00:00,Повернення,Середній,Viber,Закрито,123.0,314.0,3.0
63,12055,2022-02-03 02:00:00,Питання про товар,Високий,Telegram,Закрито,11.0,581.0,1.0
64,6762,2022-11-07 10:00:00,Гарантія,Середній,Viber,Закрито,29.0,1096.0,4.0
65,2651,2024-01-31 16:00:00,Технічна проблема,Середній,Email,Очікує відповіді клієнта,19.0,,
66,14328,2024-02-21 03:00:00,Повернення,Низький,Email,Закрито,189.0,1071.0,3.0
67,9787,2023-09-13 14:00:00,Питання про товар,Середній,Chat,Закрито,157.0,1180.0,4.0
68,13289,2022-01-23 12:00:00,Повернення,Середній,Email,Закрито,86.0,817.0,4.0
69,787,2024-10-12 16:00:00,Оплата,Середній,Chat,Очікує відповіді клієнта,50.0,,
70,11769,2022-01-24 22:00:00,Оплата,Низький,Phone,Закрито,188.0,582.0,5.0
71,11607,2024-05-11 23:00:00,Інше,Низький,Telegram,Закрито,186.0,104.0,2.0
72,2981,2022-05-18 22:00:00,Питання про товар,Середній,Telegram,Закрито,207.0,367.0,2.0
73,649,2022-12-15 11:00:00,Повернення,Низький,Viber,Закрито,109.0,1106.0,3.0
74,7246,2024-10-15 02:00:00,Оплата,Середній,Viber,Закрито,186.0,862.0,3.0
75,14669,2024-09-14 04:00:00,Питання про товар,Середній,Chat,Закрито,58.0,144.0,4.0
76,13114,2022-11-18 09:00:00,Оплата,Високий,Phone,Закрито,191.0,1111.0,1.0
77,6593,2024-07-05 10:00:00,Повернення,Середній,Email,Закрито,102.0,1325.0,2.0
78,8884,2022-05-22 03:00:00,Питання про товар,Низький,Viber,Закрито,226.0,1125.0,1.0
79,6604,2024-12-18 23:00:00,Технічна проблема,Високий,Phone,Закрито,54.0,1115.0,1.0
80,1766,2022-06-18 14:00:00,Технічна проблема,Низький,Telegram,Закрито,140.0,793.0,3.0
81,14852,2024-11-17 17:00:00,Гарантія,Середній,Viber,Відкрито,,,
82,9283,2024-10-17 03:00:00,Інше,Низький,Telegram,Закрито,228.0,1277.0,4.0
83,10372,2023-02-12 15:00:00,Оплата,Середній,Phone,Закрито,84.0,1136.0,4.0
84,8600,2023-09-04 21:00:00,Питання про товар,Високий,Chat,Закрито,85.0,1041.0,1.0
85,14463,2023-12-03 19:00:00,Інше,Середній,Phone,Закрито,35.0,1019.0,1.0
86,8532,2022-01-23 04:00:00,Питання про товар,Середній,Telegram,Закрито,43.0,410.0,4.0
87,284,2022-03-10 20:00:00,Питання про товар,Низький,Viber,Закрито,179.0,540.0,2.0
88,12306,2022-10-13 02:00:00,Гарантія,Низький,Telegram,Закрито,158.0,357.0,3.0
89,13608,2024-01-31 05:00:00,Інше,Високий,Phone,Відкрито,,,
90,616,2023-09-15 15:00:00,Питання про товар,Високий,Viber,Закрито,102.0,1044.0,3.0
91,9222,2022-12-05 10:00:00,Інше,Низький,Viber,Закрито,197.0,1251.0,3.0
92,3845,2022-02-13 16:00:00,Оплата,Середній,Email,Закрито,218.0,1017.0,5.0
93,11814,2024-11-13 21:00:00,Доставка,Середній,Telegram,Закрито,114.0,1268.0,2.0
94,4651,2023-10-04 14:00:00,Гарантія,Середній,Viber,Очікує відповіді клієнта,223.0,,
95,14475,2023-11-29 23:00:00,Оплата,Низький,Email,Закрито,139.0,412.0,4.0
96,2641,2023-06-11 01:00:00,Оплата,Низький,Viber,Закрито,66.0,1137.0,1.0
97,8211,2024-06-14 21:00:00,Гарантія,Високий,Telegram,В обробці,199.0,,
98,7606,2023-01-26 22:00:00,Технічна проблема,Низький,Email,Закрито,77.0,442.0,1.0
99,7884,2022-01-08 08:00:00,Гарантія,Низький,Telegram,Очікує відповіді клієнта,204.0,,
100,5304,2024-01-17 01:00:00,Інше,Середній,Phone,Закрито,184.0,502.0,2.0
101,13596,2022-01-21 01:00:00,Оплата,Високий,Email,Закрито,183.0,114.0,1.0
102,11525,2023-10-19 18:00:00,Доставка,Високий,Telegram,Закрито,131.0,1392.0,3.0
103,1849,2023-11-11 21:00:00,Гарантія,Середній,Phone,В обробці,186.0,,
104,7633,2023-07-26 07:00:00,Повернення,Високий,Chat,Очікує відповіді клієнта,133.0,,
105,7597,2023-08-14 00:00:00,Інше,Середній,Viber,В обробці,76.0,,
106,6988,2024-07-18 08:00:00,Оплата,Низький,Email,Закрито,118.0,1406.0,4.0
107,9647,2022-12-09 16:00:00,Інше,Низький,Phone,Закрито,75.0,40.0,5.0
108,6255,2022-06-28 10:00:00,Інше,Середній,Viber,Закрито,232.0,583.0,3.0
109,814,2023-01-23 18:00:00,Гарантія,Середній,Telegram,Відкрито,,,
110,14788,2022-11-12 07:00:00,Технічна проблема,Низький,Email,Закрито,161.0,1050.0,2.0
111,14192,2022-06-06 23:00:00,Повернення,Низький,Telegram,Очікує відповіді клієнта,128.0,,
112,5136,2022-12-11 06:00:00,Доставка,Низький,Chat,Закрито,26.0,499.0,1.0
113,14576,2023-12-09 17:00:00,Питання про товар,Середній,Phone,Закрито,205.0,890.0,1.0
114,11881,2023-01-17 14:00:00,Гарантія,Середній,Phone,Закрито,62.0,569.0,5.0
115,541,2022-12-20 09:00:00,Технічна проблема,Низький,Chat,Закрито,216.0,710.0,4.0
116,3503,2024-03-31 15:00:00,Гарантія,Середній,Chat,Закрито,77.0,1086.0,5.0
117,6160,2024-07-12 22:00:00,Оплата,Критичний,Telegram,Закрито,48.0,678.0,4.0
118,7468,2022-01-11 23:00:00,Інше,Високий,Telegram,Очікує відповіді клієнта,107.0,,
119,1546,2024-08-25 21:00:00,Оплата,Середній,Chat,Закрито,161.0,239.0,1.0
120,8514,2023-09-27 23:00:00,Оплата,Критичний,Chat,Закрито,223.0,793.0,3.0
121,8011,2023-07-26 17:00:00,Повернення,Низький,Telegram,Закрито,129.0,152.0,4.0
122,14113,2024-11-07 18:00:00,Питання про товар,Низький,Email,Відкрито,,,
123,11295,2022-07-18 16:00:00,Інше,Високий,Phone,Закрито,146.0,138.0,4.0
124,7243,2022-06-18 01:00:00,Гарантія,Середній,Chat,Закрито,25.0,723.0,3.0
125,8967,2022-11-17 18:00:00,Гарантія,Середній,Phone,Закрито,146.0,358.0,1.0
126,3811,2024-06-08 22:00:00,Гарантія,Високий,Telegram,Закрито,20.0,1355.0,4.0
127,6610,2022-10-12 09:00:00,Питання про товар,Низький,Viber,Відкрито,,,
128,13165,2024-01-03 21:00:00,Доставка,Низький,Telegram,Закрито,117.0,1387.0,2.0
129,8465,2024-08-23 01:00:00,Повернення,Середній,Viber,Закрито,120.0,318.0,5.0
130,11945,2024-05-12 09:00:00,Питання про товар,Середній,Chat,Відкрито,,,
131,8203,2024-12-27 07:00:00,Оплата,Середній,Viber,Закрито,141.0,502.0,5.0
132,2047,2022-03-10 23:00:00,Повернення,Низький,Chat,Закрито,192.0,1297.0,3.0
133,3798,2022-03-10 10:00:00,Інше,Високий,Email,Закрито,113.0,354.0,5.0
134,9920,2024-05-01 19:00:00,Технічна проблема,Низький,Viber,Закрито,207.0,435.0,5.0
135,4682,2024-11-15 06:00:00,Технічна проблема,Середній,Chat,Закрито,23.0,264.0,3.0
136,13847,2024-07-10 07:00:00,Інше,Низький,Chat,Закрито,101.0,947.0,3.0
137,6038,2023-07-21 10:00:00,Інше,Високий,Viber,Закрито,13.0,1344.0,3.0
138,3461,2024-04-22 23:00:00,Доставка,Низький,Phone,Очікує відповіді клієнта,95.0,,
139,14465,2024-01-31 20:00:00,Повернення,Високий,Phone,Закрито,45.0,648.0,1.0
140,1877,2022-04-02 11:00:00,Доставка,Низький,Email,В обробці,30.0,,
141,11182,2022-12-20 22:00:00,Оплата,Низький,Email,Закрито,214.0,1371.0,5.0
142,10397,2024-02-26 15:00:00,Оплата,Низький,Email,Закрито,99.0,294.0,1.0
143,11405,2023-08-11 08:00:00,Інше,Низький,Chat,Закрито,216.0,867.0,2.0
144,8823,2022-10-14 15:00:00,Гарантія,Низький,Phone,Закрито,154.0,1184.0,1.0
145,11065,2024-07-09 02:00:00,Питання про товар,Середній,Email,Закрито,137.0,592.0,3.0
146,4209,2023-06-07 14:00:00,Гарантія,Середній,Chat,Закрито,99.0,427.0,1.0
147,546,2022-10-01 08:00:00,Повернення,Середній,Chat,Закрито,76.0,1088.0,5.0
148,909,2022-02-18 16:00:00,Інше,Середній,Phone,Закрито,205.0,1345.0,3.0
149,12232,2024-01-20 09:00:00,Гарантія,Низький,Email,Закрито,238.0,218.0,1.0
150,547,2023-04-01 19:00:00,Повернення,Середній,Phone,Закрито,120.0,1250.0,4.0
151,6435,2022-03-28 05:00:00,Оплата,Середній,Viber,Відкрито,,,
152,9334,2022-05-10 19:00:00,Технічна проблема,Критичний,Phone,Закрито,222.0,607.0,4.0
153,13485,2023-09-16 18:00:00,Повернення,Низький,Email,Відкрито,,,
154,10278,2024-12-08 08:00:00,Доставка,Високий,Chat,Закрито,84.0,595.0,2.0
155,5997,2022-01-20 11:00:00,Оплата,Середній,Telegram,Закрито,157.0,147.0,4.0
156,12463,2024-12-25 06:00:00,Повернення,Середній,Viber,Закрито,80.0,906.0,2.0
157,11121,2024-02-29 00:00:00,Питання про товар,Низький,Email,Очікує відповіді клієнта,59.0,,
158,4627,2022-01-09 18:00:00,Гарантія,Середній,Phone,Закрито,228.0,831.0,2.0
159,12094,2022-04-11 00:00:00,Повернення,Середній,Chat,Закрито,151.0,1318.0,3.0
160,4730,2023-05-17 18:00:00,Технічна проблема,Критичний,Phone,Закрито,48.0,1004.0,5.0
161,12395,2022-09-27 03:00:00,Питання про товар,Середній,Viber,В обробці,167.0,,
162,526,2022-11-17 05:00:00,Оплата,Низький,Viber,Закрито,14.0,1041.0,1.0
163,10072,2023-08-30 03:00:00,Технічна проблема,Високий,Chat,Закрито,122.0,1331.0,4.0
164,1058,2023-02-23 14:00:00,Технічна проблема,Критичний,Telegram,Закрито,22.0,405.0,5.0
165,2268,2022-08-13 05:00:00,Доставка,Середній,Chat,Закрито,238.0,298.0,3.0
166,1561,2024-10-17 18:00:00,Повернення,Низький,Telegram,Очікує відповіді клієнта,139.0,,
167,1300,2022-04-03 16:00:00,Оплата,Низький,Viber,Очікує відповіді клієнта,120.0,,
168,6123,2023-03-19 06:00:00,Оплата,Низький,Email,Відкрито,,,
169,8405,2023-11-26 23:00:00,Технічна проблема,Низький,Email,Закрито,224.0,129.0,5.0
170,6006,2024-10-20 07:00:00,Оплата,Низький,Telegram,Очікує відповіді клієнта,21.0,,
171,5090,2023-10-21 21:00:00,Гарантія,Низький,Email,Закрито,28.0,1016.0,1.0
172,8523,2022-05-18 17:00:00,Доставка,Низький,Telegram,Закрито,34.0,108.0,1.0
173,7199,2024-07-25 09:00:00,Технічна проблема,Низький,Phone,Закрито,215.0,829.0,3.0
174,5278,2024-01-07 15:00:00,Інше,Середній,Telegram,Закрито,201.0,1081.0,3.0
175,8358,2022-04-20 13:00:00,Технічна проблема,Критичний,Viber,Закрито,149.0,104.0,1.0
176,4634,2024-01-22 15:00:00,Доставка,Високий,Viber,Закрито,205.0,276.0,4.0
177,418,2023-04-28 01:00:00,Гарантія,Середній,Chat,Закрито,90.0,1347.0,3.0
178,2373,2023-11-14 01:00:00,Гарантія,Високий,Viber,Закрито,75.0,626.0,3.0
179,6617,2022-07-02 06:00:00,Повернення,Критичний,Viber,Відкрито,,,
180,5824,2023-06-14 16:00:00,Інше,Низький,Phone,Закрито,92.0,1018.0,4.0
181,6401,2024-10-16 12:00:00,Доставка,Критичний,Chat,Закрито,61.0,63.0,1.0
182,10497,2023-10-21 12:00:00,Питання про товар,Низький,Phone,Закрито,156.0,302.0,3.0
183,5059,2023-10-13 08:00:00,Інше,Низький,Telegram,Закрито,76.0,604.0,5.0
184,6684,2023-06-29 19:00:00,Доставка,Низький,Telegram,Закрито,180.0,982.0,4.0
185,12852,2023-07-10 13:00:00,Повернення,Середній,Chat,Закрито,23.0,1192.0,2.0
186,5984,2023-10-04 19:00:00,Технічна проблема,Високий,Email,Закрито,156.0,72.0,5.0
187,9630,2024-04-14 19:00:00,Повернення,Середній,Email,Закрито,206.0,753.0,1.0
188,7981,2024-09-05 05:00:00,Інше,Низький,Chat,Закрито,224.0,840.0,4.0
189,8750,2023-09-29 00:00:00,Доставка,Середній,Phone,Закрито,232.0,956.0,5.0
190,1720,2022-01-08 05:00:00,Повернення,Низький,Chat,Закрито,101.0,329.0,5.0
191,3249,2024-05-07 20:00:00,Технічна проблема,Критичний,Viber,Закрито,130.0,1081.0,1.0
192,5098,2024-08-30 10:00:00,Оплата,Середній,Chat,В обробці,40.0,,
193,5609,2022-01-07 16:00:00,Питання про товар,Середній,Phone,Закрито,105.0,973.0,1.0
194,14714,2022-09-22 13:00:00,Оплата,Низький,Telegram,Закрито,57.0,534.0,2.0
195,11072,2024-02-04 16:00:00,Інше,Низький,Chat,В обробці,208.0,,
196,12841,2022-10-02 18:00:00,Питання про товар,Низький,Email,Закрито,137.0,318.0,3.0
197,11951,2023-10-20 04:00:00,Повернення,Середній,Phone,Закрито,185.0,729.0,3.0
198,12102,2022-04-19 02:00:00,Питання про товар,Низький,Chat,В обробці,23.0,,
199,3743,2024-04-20 14:00:00,Питання про товар,Високий,Viber,Закрито,188.0,1228.0,4.0
200,11992,2022-02-24 13:00:00,Питання про товар,Низький,Chat,Закрито,182.0,999.0,3.0
201,2501,2022-04-22 04:00:00,Повернення,Низький,Telegram,Очікує відповіді клієнта,179.0,,
202,4841,2022-11-25 21:00:00,Оплата,Високий,Email,Очікує відповіді клієнта,103.0,,
203,14079,2024-08-04 16:00:00,Питання про товар,Низький,Phone,Закрито,85.0,249.0,2.0
204,14420,2024-07-03 11:00:00,Інше,Низький,Chat,Закрито,170.0,596.0,2.0
205,8540,2023-07-17 20:00:00,Повернення,Низький,Viber,Закрито,177.0,783.0,1.0
206,14004,2024-06-08 11:00:00,Питання про товар,Середній,Email,В обробці,185.0,,
207,669,2022-06-06 22:00:00,Питання про товар,Низький,Email,Очікує відповіді клієнта,29.0,,
208,8916,2024-01-19 17:00:00,Гарантія,Середній,Telegram,Закрито,174.0,1312.0,4.0
209,949,2024-07-02 04:00:00,Гарантія,Високий,Email,Закрито,40.0,533.0,4.0
210,2315,2024-04-18 18:00:00,Технічна проблема,Низький,Telegram,Закрито,85.0,633.0,4.0
211,12981,2023-08-05 02:00:00,Доставка,Низький,Email,Закрито,152.0,1204.0,2.0
212,6419,2024-07-28 09:00:00,Інше,Низький,Viber,Закрито,51.0,510.0,1.0
213,1068,2023-07-09 07:00:00,Технічна проблема,Середній,Telegram,Закрито,136.0,353.0,1.0
214,3197,2023-08-21 05:00:00,Гарантія,Високий,Viber,Закрито,209.0,1340.0,4.0
215,7490,2022-12-31 17:00:00,Оплата,Високий,Phone,Закрито,161.0,1306.0,2.0
216,11480,2023-07-04 08:00:00,Технічна проблема,Високий,Telegram,Закрито,12.0,515.0,1.0
217,4921,2023-07-11 23:00:00,Питання про товар,Високий,Telegram,Закрито,190.0,160.0,4.0
218,5332,2024-06-29 16:00:00,Інше,Низький,Chat,В обробці,46.0,,
219,13243,2022-10-01 01:00:00,Гарантія,Середній,Phone,Закрито,55.0,1282.0,2.0
220,8092,2023-05-10 06:00:00,Оплата,Високий,Phone,Закрито,208.0,990.0,1.0
221,7074,2024-12-29 11:00:00,Повернення,Середній,Viber,Закрито,50.0,628.0,4.0
222,5391,2024-03-17 17:00:00,Питання про товар,Середній,Email,Закрито,143.0,1116.0,2.0
223,10716,2023-06-02 05:00:00,Повернення,Середній,Viber,Закрито,109.0,921.0,5.0
224,10923,2022-11-02 03:00:00,Технічна проблема,Середній,Email,В обробці,173.0,,
225,8630,2024-02-08 23:00:00,Доставка,Низький,Chat,Очікує відповіді клієнта,189.0,,
226,5548,2022-06-24 11:00:00,Повернення,Низький,Viber,Закрито,124.0,535.0,5.0
227,13303,2024-02-20 13:00:00,Інше,Високий,Phone,Закрито,61.0,87.0,5.0
228,12998,2023-01-19 21:00:00,Гарантія,Низький,Chat,Закрито,77.0,208.0,5.0
229,11299,2022-01-22 06:00:00,Технічна проблема,Низький,Viber,Закрито,93.0,1098.0,3.0
230,10730,2022-10-30 00:00:00,Гарантія,Середній,Chat,Закрито,81.0,194.0,5.0
231,9733,2022-05-04 10:00:00,Гарантія,Низький,Viber,Закрито,74.0,314.0,3.0
232,2650,2024-06-26 05:00:00,Питання про товар,Високий,Telegram,Закрито,97.0,808.0,5.0
233,4086,2023-01-29 03:00:00,Питання про товар,Низький,Chat,В обробці,81.0,,
234,1116,2023-09-17 03:00:00,Доставка,Середній,Telegram,Очікує відповіді клієнта,91.0,,
235,13285,2022-06-16 10:00:00,Питання про товар,Середній,Email,Закрито,71.0,689.0,5.0
236,10760,2024-11-05 21:00:00,Доставка,Низький,Chat,Закрито,200.0,211.0,3.0
237,13123,2023-05-24 23:00:00,Повернення,Низький,Chat,Закрито,125.0,661.0,5.0
238,10761,2022-05-01 18:00:00,Гарантія,Середній,Phone,Закрито,33.0,133.0,5.0
239,5411,2022-07-09 04:00:00,Доставка,Середній,Phone,Закрито,235.0,183.0,2.0
240,7395,2023-02-04 19:00:00,Технічна проблема,Високий,Viber,Очікує відповіді клієнта,156.0,,
241,12961,2023-02-27 09:00:00,Оплата,Високий,Chat,Відкрито,,,
242,10047,2023-08-09 13:00:00,Гарантія,Середній,Email,Закрито,186.0,440.0,4.0
243,13416,2024-03-03 18:00:00,Доставка,Низький,Phone,В обробці,138.0,,
244,12244,2022-10-26 00:00:00,Гарантія,Середній,Email,В обробці,46.0,,
245,9476,2022-03-18 00:00:00,Питання про товар,Середній,Phone,Закрито,100.0,1320.0,2.0
246,2286,2023-07-21 22:00:00,Питання про товар,Середній,Email,Закрито,231.0,448.0,1.0
247,2036,2024-11-21 04:00:00,Доставка,Низький,Chat,Очікує відповіді клієнта,97.0,,
248,9996,2024-03-11 16:00:00,Технічна проблема,Середній,Chat,Закрито,152.0,477.0,5.0
249,13178,2023-07-29 12:00:00,Інше,Середній,Chat,Закрито,122.0,480.0,1.0
250,4901,2023-09-03 04:00:00,Гарантія,Критичний,Chat,Закрито,41.0,631.0,3.0
251,4609,2023-02-12 12:00:00,Технічна проблема,Низький,Chat,Закрито,188.0,1083.0,5.0
252,3773,2022-08-08 22:00:00,Питання про товар,Середній,Telegram,Закрито,228.0,863.0,2.0
253,12881,2023-01-04 18:00:00,Гарантія,Низький,Phone,В обробці,212.0,,
254,11102,2022-03-20 01:00:00,Питання про товар,Низький,Viber,Закрито,100.0,443.0,3.0
255,5939,2023-09-03 12:00:00,Оплата,Високий,Chat,Відкрито,,,
256,13576,2024-03-20 23:00:00,Питання про товар,Низький,Phone,Закрито,111.0,1008.0,2.0
257,8174,2024-02-14 01:00:00,Інше,Низький,Phone,Закрито,230.0,1423.0,1.0
258,13952,2023-01-06 03:00:00,Інше,Низький,Chat,В обробці,137.0,,
259,9313,2022-11-11 04:00:00,Повернення,Середній,Chat,Закрито,93.0,156.0,3.0
260,8627,2022-11-27 19:00:00,Питання про товар,Низький,Telegram,Закрито,51.0,430.0,1.0
261,279,2023-09-29 04:00:00,Гарантія,Високий,Phone,Відкрито,,,
262,745,2024-11-16 15:00:00,Доставка,Низький,Chat,Закрито,57.0,409.0,2.0
263,8621,2022-02-08 07:00:00,Інше,Високий,Viber,Відкрито,,,
264,7523,2024-11-24 02:00:00,Технічна проблема,Середній,Chat,Закрито,82.0,144.0,1.0
265,10573,2022-07-12 13:00:00,Оплата,Середній,Email,В обробці,157.0,,
266,8411,2022-06-11 10:00:00,Технічна проблема,Середній,Chat,Закрито,66.0,1289.0,3.0
267,13874,2024-01-15 07:00:00,Питання про товар,Середній,Telegram,Закрито,205.0,843.0,5.0
268,14111,2023-09-13 17:00:00,Повернення,Низький,Email,Закрито,215.0,1321.0,5.0
269,7677,2024-01-03 02:00:00,Питання про товар,Середній,Phone,В обробці,122.0,,
270,10448,2022-04-24 18:00:00,Повернення,Низький,Phone,Відкрито,,,
271,9221,2023-10-15 03:00:00,Питання про товар,Низький,Telegram,Закрито,142.0,706.0,2.0
272,6699,2023-01-21 07:00:00,Інше,Середній,Email,Закрито,182.0,770.0,2.0
273,8291,2022-06-06 19:00:00,Гарантія,Середній,Chat,Закрито,14.0,889.0,1.0
274,12944,2024-03-08 11:00:00,Повернення,Середній,Email,Закрито,180.0,979.0,5.0
275,7603,2023-03-19 18:00:00,Повернення,Середній,Phone,Відкрито,,,
276,1616,2023-08-07 03:00:00,Оплата,Високий,Viber,Відкрито,,,
277,7981,2024-03-24 07:00:00,Повернення,Низький,Phone,Закрито,234.0,1002.0,2.0
278,1808,2024-05-30 15:00:00,Доставка,Середній,Email,Закрито,147.0,250.0,2.0
279,2085,2024-11-18 05:00:00,Доставка,Низький,Email,Закрито,109.0,1340.0,5.0
280,5985,2023-07-16 05:00:00,Технічна проблема,Високий,Chat,Закрито,113.0,1133.0,5.0
281,6156,2022-04-10 04:00:00,Питання про товар,Низький,Email,В обробці,177.0,,
282,975,2022-06-01 06:00:00,Оплата,Середній,Phone,Відкрито,,,
283,672,2022-03-01 19:00:00,Технічна проблема,Високий,Email,Закрито,39.0,642.0,4.0
284,12352,2022-04-29 07:00:00,Гарантія,Середній,Chat,Відкрито,,,
285,6784,2024-02-22 08:00:00,Технічна проблема,Високий,Chat,Закрито,200.0,125.0,3.0
286,12395,2023-12-30 22:00:00,Технічна проблема,Високий,Viber,Закрито,27.0,793.0,5.0
287,7642,2023-04-30 13:00:00,Гарантія,Критичний,Telegram,Закрито,170.0,849.0,5.0
288,10444,2024-12-10 22:00:00,Інше,Низький,Email,Закрито,211.0,223.0,5.0
289,2773,2022-05-09 21:00:00,Технічна проблема,Низький,Email,Закрито,107.0,931.0,4.0
290,974,2023-10-30 19:00:00,Доставка,Середній,Viber,Закрито,179.0,333.0,1.0
